gk,jenis_MAKANAN,daerah_PERKOTAAN,provinsi_JAWA TIMUR,periode_SEPTEMBER,Cluster,jenis_original,daerah_original,provinsi_original,periode_original,gk_original
1.137291019568328,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,SEPTEMBER,466527.0
1.1928308604361402,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,MARET,474627.0
1.2547817817004219,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,SEPTEMBER,483662.0
1.4105744637198736,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,-1.0,3,TOTAL,PERKOTAAN,SULAWESI TENGAH,MARET,506383.0
1.4790804575606529,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,1.0,6,TOTAL,PERKOTAAN,SULAWESI TENGAH,SEPTEMBER,516374.0
1.6274883977758288,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,-1.0,3,TOTAL,PERKOTAAN,SULAWESI TENGAH,MARET,538018.0
1.8193134086545835,-0.6666666666666666,1.4142135623730951,-0.17149858514250885,1.0,6,TOTAL,PERKOTAAN,SULAWESI TENGAH,SEPTEMBER,565994.0
1.3135580182336177,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAAN,SULAWESI TENGAH,MARET,492234.0
1.3692144241995474,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAAN,SULAWESI TENGAH,SEPTEMBER,500351.0
1.5427867120671765,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAAN,SULAWESI TENGAH,MARET,525665.0
1.727206410830223,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,1.0,7,TOTAL,PERDESAAN,SULAWESI TENGAH,SEPTEMBER,552561.0
1.3453597197082983,-0.6666666666666666,-0.7071067811865475,-0.17149858514250885,-1.0,14,TOTAL,PERDESAANPERKOTAAN,SULAWESI TENGAH,MARET,496872.0
